complex_id,appendix_file,level,implementation_path,formal_proof_status,formal_proof_reason,formal_proof_backend,formal_proof_kernel,formal_proof_certificate_path,formal_proof_certificate_sha256,formal_proof_assumptions_sha256
reciprocal_relation_action_groupoid,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/duality/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
minimal_two_state_involution_orbitwise_alternator,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/duality/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
involutive_duality_c_2_action,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/duality/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
reciprocal_orbit_double_cover,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/duality/theorem_complex/second_order_completeness/complex_001_reciprocal_orbit_double_cover/1b2b/equivalence_of_reciprocal_covers_and_orbit_groupoids.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
two_state_free_cofree_duality,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/duality/b_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
invariant_anti_invariant_orbit_fields,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/duality/c_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
kernel_recursion,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/duality/recertified_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
schedule_controlled_parity_coding_and_uniform_minimal_involution,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/symmetry/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
bidirectional_orbit_invariance_and_minimal_involution_generated_c_2_action,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/symmetry/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
schedule_controlled_orbit_transport,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/symmetry/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
involutive_generator_word_closure_and_conjugacy,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/symmetry/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
schedule_driven_generator_word_field,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/symmetry/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
order_two_symmetry_recursion,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/symmetry/recertified_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
phase_gated_compensation_transport,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/symmetry/theorem_complex/second_order_completeness/complex_003_phase_gated_compensation_transport/1b2b/local_generatorrecursive_cocycle_equivalence.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
minimal_and_cyclic_spatiality_two_state_reflection_and_finite_cyclic_orbit_closure,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/spatiality/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
imaginary_and_phase_spatiality_quarter_turn_rotation_and_phase_conjugate_reflection,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/spatiality/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
cyclic_square_root_lifting_and_phase_anchored_dihedralization,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/spatiality/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
orbit_harmonic_phase_resolution,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/spatiality/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
equivariant_orbit_spectral_reconstruction,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/spatiality/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
affine_spatial_involution_orbit,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/spatiality/recertified_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
involution_to_chord_linearization,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/spatiality/theorem_complex/second_order_completeness/complex_003_involution_to_chord_linearization/1b2b/abstract_orbitaffine_chord_equivalence.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
twisted_orbit_balance_bundle,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/spatiality/theorem_complex/third_order_completeness/complex_002_twisted_orbit_balance_bundle/1c2c/anti_invariant_fieldtwisted_section_equivalence.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
bidirectional_integer_rays_and_finite_polarity_enumeration,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
combinatorial_cubic_generation_and_stochastic_polarity_accessibility,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
finitary_flip_invariance_and_null_recurrent_countable_exploration,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
signed_shortlex_cubic_transduction,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
recurrent_cubical_cover_dynamics,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
reflected_cubical_address_space,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/countable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
continuum_trajectory_cardinality_and_countable_phase_cell_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
power_set_continuum_and_atomic_quotient_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dense_flowpoint_traces_and_nowhere_dense_quantized_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
recursive_cantor_space_universality_and_finite_resolution_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
fractal_flowpoint_self_similarity_and_finite_depth_atomic_resolution,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
duality_completion_and_countable_realization_of_the_continuum_power_set_coding_inverse_limits_and_de,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
complete_boolean_algebra_missing_complements_and_generated_completion,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
operational_coarse_graining_and_persistence_of_unresolved_distinctions,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
2_adic_coded_continuum_coverage_and_singleton_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dual_realizability_invariant_closure_and_defect_repair,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
binary_supported_continuous_superposition_and_atom_phase_translation,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
prefix_tree_dense_reconstruction,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
complement_invariant_fractal_skeleton_completion,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
boolean_decision_extension_consensus,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
2_adic_canonical_domain_repair_and_euclidean_coverage_dualization,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
end_compactified_additive_continuum_field,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
decision_weighted_complex_coverage_and_dual_repair_field,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/uncountable_infinity/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
spectrum_normalization_and_normalization_obstruction,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
spectrum_dfi_duality_and_dfi_divergence,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/authoritative_dfi.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
measurable_decomposition_and_non_measurable_obstruction,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
completeness_and_incompleteness_of_the_soi_l_p_structure,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
entropy_density_mapping_and_entropy_divergence,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
finitizable_infinity_and_the_non_finitization_boundary,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/authoritative_finitization.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dual_realizability_and_the_missing_dual_defect,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
soi_measure_preserving_normalization_and_spectrum_obstruction,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
borel_analytic_sufficiency_and_over_extension_beyond_measurability,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
factor_map_equivariance_and_limit_bias,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
spectrum_flowpoint_addressability_and_unaddressability,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
metric_deformation_robustness_and_deformation_fragility,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
2_adic_history_accessibility_and_frozen_accessibility,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
cosmic_matrix_address_and_ghost_spark_obstruction,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
observable_locality_and_infinite_exposure,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
elastic_curvature_probing_and_incoherent_warping,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/the_spectrum_of_infinities/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
observation_induced_collapse_and_collapse_divergence,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
collapse_attractor_stability_and_attractor_instability,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
uniqueness_and_non_uniqueness_of_collapse,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
hilbert_projection_realization_and_projection_breakdown,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
fixed_point_consistency_and_trivial_collapse_failure,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
observation_definiteness_equivalence_and_closure_failure,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
definite_state_projection_and_state_ambiguity,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
ergodic_collapse_projection_and_non_convergence,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
outcome_conditioned_closure_instrument,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
involutive_collapse_spectral_pinning_and_spectral_drift,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
temporal_compression_and_frozen_time_obstruction,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
collapse_spectral_selection_and_spectral_ambiguity,appendix_tne_foundational_closure_architecture.tex,B,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
observation_dimensional_binding_and_dimensional_non_binding,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
observable_locality_and_collapse_inaccessibility,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
local_horizon_boundary_and_non_locality_divergence,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
closure_conditioned_spectral_outcome_field,appendix_tne_foundational_closure_architecture.tex,C,the_nothingness_effect/foundational_architecture/observation_and_collapse/canonical_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_spectrum_normalized_existence_and_normalization_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_invariance_under_soi_rescaling_and_spurious_scale_dependence,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_entropic_fluctuation_encoding_and_fluctuation_divergence,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_adaptive_applicability_and_contextual_instability,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/theorem_complex/first_order_completeness/complex_004_dfi_adaptive_applicability_and_contextual_instability/1a2a/conditional_adaptive_applicability_classification.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_uniqueness_of_decomposition_and_mapping_ambiguity,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/extended_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_flowpoint_consistency_and_interface_inconsistency,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/extended_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
dfi_simulation_consistency_and_simulation_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/extended_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
scale_normalized_dfi_homogeneity_invariant,appendix_tne_fluctuation_and_elastic_dynamics.tex,B,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/theorem_complex/second_order_completeness/complex_001_scale_normalized_dfi_homogeneity_invariant/1b2b/complete_dfi_existence_classification_exact_dfi_transformation_classification.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
entropic_applicability_response_operator,appendix_tne_fluctuation_and_elastic_dynamics.tex,B,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/theorem_complex/second_order_completeness/complex_002_entropic_applicability_response_operator/1b2b/complete_exponential_response_classification_conditional_adaptive_applicability_classification.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
flowpoint_certified_dfi_validation_functional,appendix_tne_fluctuation_and_elastic_dynamics.tex,B,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/theorem_complex/second_order_completeness/complex_003_flowpoint_certified_dfi_validation_functional/1b2b/complete_dfi_decomposition_classification_complete_dfiflowpoint_bridge_classification_complete_d.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
spatially_localized_dfi_consistency_closure,appendix_tne_fluctuation_and_elastic_dynamics.tex,C,the_nothingness_effect/fluctuation_and_elastic_dynamics/dynamic_fluctuation_index/theorem_complex/third_order_completeness/complex_001_spatially_localized_dfi_consistency_closure/1c2c/complete_dfi_existence_classification_complete_exponential_response_classification_complete_dfi.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
parity_definite_fluctuation_law_and_parity_indeterminate_fluctuation_law,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
flowpoint_parity_correspondence_and_decoupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
pdfi_entropic_predictability_and_fluctuation_ambiguity,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
pdfi_driven_meta_observation_and_collapse_under_meta_parity_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
pdfi_elastic_equivalence_and_decoupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
completeness_of_parity_driven_fluctuation_synthesis_and_incompleteness_of_parity_driven_fluctuations,appendix_tne_fluctuation_and_elastic_dynamics.tex,A,the_nothingness_effect/fluctuation_and_elastic_dynamics/parity_adapted_dynamic_fluctuation_index/contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
