complex_id,source_complex_id,appendix_file,appendix_source_sha256,level,module,complex_title,ai_relevance,ai_targets,reusable_ai_primitive,qenn_use,pgqenn_use,soinets_use,verification_status,integration_status
minimal_and_cyclic_spatiality_two_state_reflection_and_finite_cyclic_orbit_closure,minimal_and_cyclic_spatiality_two_state_reflection_and_finite_cyclic_orbit_closure,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,spatiality,Minimal and Cyclic Spatiality: Two-State Reflection and Finite Cyclic Orbit Closure,medium,"QENN,PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; non-cancelling residual, self-audit certificate, and fail-closed training objective",non-cancelling closure residual in the training objective,prime-shell graph locality and message-passing mask; growth-step closure certificate and source-removal ablation,network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
imaginary_and_phase_spatiality_quarter_turn_rotation_and_phase_conjugate_reflection,imaginary_and_phase_spatiality_quarter_turn_rotation_and_phase_conjugate_reflection,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,spatiality,Imaginary and Phase Spatiality:\\ Quarter-Turn Rotation and Phase-Conjugate Reflection,medium,"PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,prime-shell graph locality and message-passing mask,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
cyclic_square_root_lifting_and_phase_anchored_dihedralization,cyclic_square_root_lifting_and_phase_anchored_dihedralization,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,spatiality,Cyclic Square-Root Lifting and Phase-Anchored Dihedralization,high,"PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,prime-shell graph locality and message-passing mask,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
orbit_harmonic_phase_resolution,orbit_harmonic_phase_resolution,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,spatiality,Orbit Harmonic Phase Resolution,high,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate; spectral positional encoding and sparse-support stability constraint,reversible/alternating hidden-state gate; spectral purification/positional feature layer,prime-shell graph locality and message-passing mask,network-of-networks spatial coupling and locality constraint; multi-resolution spectral synchronization,appendix_labels_verified,planned
equivariant_orbit_spectral_reconstruction,equivariant_orbit_spectral_reconstruction,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,spatiality,Equivariant Orbit–Spectral Reconstruction,high,"QENN,PGQENN,SOInets",equivariant layer and symmetry regularizer; locality-aware graph/spatial operator and boundary gate; spectral positional encoding and sparse-support stability constraint,spectral purification/positional feature layer,prime-shell graph locality and message-passing mask; prime-motif spectral support regularizer,network-of-networks spatial coupling and locality constraint; multi-resolution spectral synchronization,appendix_labels_verified,planned
affine_spatial_involution_orbit,affine_spatial_involution_orbit,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,flowpoint_spatiality,Affine Spatial Involution–Orbit,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,prime-shell graph locality and message-passing mask; dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
involution_to_chord_linearization,involution_to_chord_linearization,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,flowpoint_spatiality,Involution-to-Chord Linearization,high,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,prime-shell graph locality and message-passing mask; dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
twisted_orbit_balance_bundle,twisted_orbit_balance_bundle,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,flowpoint_spatiality,Twisted Orbit-Balance Bundle,high,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,prime-shell graph locality and message-passing mask; dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
bidirectional_integer_rays_and_finite_polarity_enumeration,bidirectional_integer_rays_and_finite_polarity_enumeration,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,countable_infinity,Bidirectional Integer Rays and Finite Polarity Enumeration,low,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation; typed neural arithmetic/graph-growth primitive,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
combinatorial_cubic_generation_and_stochastic_polarity_accessibility,combinatorial_cubic_generation_and_stochastic_polarity_accessibility,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,countable_infinity,Combinatorial Cubic Generation and Stochastic Polarity Accessibility,low,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
finitary_flip_invariance_and_null_recurrent_countable_exploration,finitary_flip_invariance_and_null_recurrent_countable_exploration,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,countable_infinity,Finitary Flip Invariance and Null-Recurrent Countable Exploration,low,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
signed_shortlex_cubic_transduction,signed_shortlex_cubic_transduction,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,countable_infinity,Signed Shortlex–Cubic Transduction,medium,"PGQENN,SOInets",dual-channel encoding and sign-equivariant weight tying; multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
recurrent_cubical_cover_dynamics,recurrent_cubical_cover_dynamics,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,countable_infinity,Recurrent Cubical Cover Dynamics,medium,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
reflected_cubical_address_space,reflected_cubical_address_space,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,countable_infinity,Reflected Cubical Address Space,medium,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
continuum_trajectory_cardinality_and_countable_phase_cell_collapse,continuum_trajectory_cardinality_and_countable_phase_cell_collapse,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,uncountable_infinity,Continuum Trajectory Cardinality and Countable Phase-Cell Collapse,medium,"QENN,PGQENN,SOInets","involutive/reversible state update and parity clock; multi-scale capacity/shell routing and spectrum allocation; attention/readout projection, confidence gate, and collapse status",reversible/alternating hidden-state gate; projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation; cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
power_set_continuum_and_atomic_quotient_collapse,power_set_continuum_and_atomic_quotient_collapse,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,uncountable_infinity,Power-Set Continuum and Atomic Quotient Collapse,medium,"QENN,PGQENN,SOInets","multi-scale capacity/shell routing and spectrum allocation; attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation; cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
dense_flowpoint_traces_and_nowhere_dense_quantized_collapse,dense_flowpoint_traces_and_nowhere_dense_quantized_collapse,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,uncountable_infinity,Dense Flowpoint Traces and Nowhere-Dense Quantized Collapse,medium,"QENN,PGQENN,SOInets","involutive/reversible state update and parity clock; multi-scale capacity/shell routing and spectrum allocation; attention/readout projection, confidence gate, and collapse status",reversible/alternating hidden-state gate; projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update,multi-shell capacity routing and task-spectrum allocation; cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
recursive_cantor_space_universality_and_finite_resolution_collapse,recursive_cantor_space_universality_and_finite_resolution_collapse,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,uncountable_infinity,Recursive Cantor-Space Universality and Finite-Resolution Collapse,medium,"QENN,PGQENN,SOInets","multi-scale capacity/shell routing and spectrum allocation; attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation; cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
fractal_flowpoint_self_similarity_and_finite_depth_atomic_resolution,fractal_flowpoint_self_similarity_and_finite_depth_atomic_resolution,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,uncountable_infinity,Fractal Flowpoint Self-Similarity and Finite-Depth Atomic Resolution,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; multi-scale capacity/shell routing and spectrum allocation,reversible/alternating hidden-state gate,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
